KEY,(H)TEAM,(H)MATCH UP,(H)GAME DATE,(H)W/L,(H)MIN,(H)PTS,(H)FGM,(H)FGA,(H)FG%,(H)3PM,(H)3PA,(H)3P%,(H)FTM,(H)FTA,(H)FT%,(H)OREB,(H)DREB,(H)REB,(H)AST,(H)TOV,(H)STL,(H)BLK,(H)PF,(H)+/-,(A)TEAM,(A)MATCH UP,(A)GAME DATE,(A)W/L,(A)MIN,(A)PTS,(A)FGM,(A)FGA,(A)FG%,(A)3PM,(A)3PA,(A)3P%,(A)FTM,(A)FTA,(A)FT%,(A)OREB,(A)DREB,(A)REB,(A)AST,(A)TOV,(A)STL,(A)BLK,(A)PF,(A)+/-
BOS-BKN-02/01/2023,BOS,BOS vs. BKN,02/01/2023,W,12.0,46,18,29,0.621,8,11,0.727,2,2,1.0,5,15,20,8,1.0,1,1,3,30.0,BKN,BKN @ BOS,02/01/2023,L,12.0,16,6,21,0.286,2,12,0.167,2,4,0.5,1,5,6,4,2.0,1,1,2,-30.0
PHI-ORL-02/01/2023,PHI,PHI vs. ORL,02/01/2023,W,12.0,37,11,23,0.478,3,10,0.3,12,12,1.0,2,7,9,9,2.0,2,0,6,14.0,ORL,ORL @ PHI,02/01/2023,L,12.0,23,8,21,0.381,3,10,0.3,4,9,0.444,2,8,10,6,5.0,2,2,8,-14.0
HOU-OKC-02/01/2023,HOU,HOU vs. OKC,02/01/2023,W,12.0,34,13,24,0.542,1,7,0.143,7,7,1.0,5,11,16,5,3.0,2,0,5,9.0,OKC,OKC @ HOU,02/01/2023,L,12.0,25,8,23,0.348,3,10,0.3,6,7,0.857,4,4,8,4,2.0,1,0,6,-9.0
MEM-POR-02/01/2023,MEM,MEM vs. POR,02/01/2023,L,12.0,32,12,21,0.571,2,6,0.333,6,7,0.857,5,10,15,7,5.0,3,0,5,6.0,POR,POR @ MEM,02/01/2023,W,12.0,26,10,21,0.476,3,8,0.375,3,3,1.0,0,4,4,7,3.0,1,0,4,-6.0
UTA-TOR-02/01/2023,UTA,UTA vs. TOR,02/01/2023,W,12.0,31,12,23,0.522,3,9,0.333,4,4,1.0,3,13,16,8,6.0,0,7,4,6.0,TOR,TOR @ UTA,02/01/2023,L,12.0,25,10,35,0.286,1,5,0.2,4,4,1.0,10,8,18,6,1.0,5,0,3,-6.0
PHX-ATL-02/01/2023,PHX,PHX vs. ATL,02/01/2023,L,12.0,23,9,24,0.375,1,6,0.167,4,4,1.0,2,12,14,4,3.0,3,1,2,-3.0,ATL,ATL @ PHX,02/01/2023,W,12.0,26,10,23,0.435,5,10,0.5,1,1,1.0,0,13,13,9,4.0,2,2,3,3.0
MIN-GSW-02/01/2023,MIN,MIN vs. GSW,02/01/2023,W,12.0,32,12,26,0.462,5,16,0.313,3,4,0.75,3,9,12,8,2.0,3,2,4,-2.0,GSW,GSW @ MIN,02/01/2023,L,12.0,34,10,20,0.5,6,12,0.5,8,8,1.0,0,10,10,7,4.0,2,1,4,2.0
SAS-SAC-02/01/2023,SAS,SAS vs. SAC,02/01/2023,L,12.0,31,14,24,0.583,2,6,0.333,1,1,1.0,1,8,9,10,3.0,1,0,4,1.0,SAC,SAC @ SAS,02/01/2023,W,12.0,30,12,24,0.5,2,11,0.182,4,4,1.0,2,9,11,7,2.0,1,2,3,-1.0
CHI-LAC-01/31/2023,CHI,CHI vs. LAC,01/31/2023,L,12.0,32,12,22,0.545,6,10,0.6,2,2,1.0,1,9,10,8,3.0,2,2,1,12.0,LAC,LAC @ CHI,01/31/2023,W,12.0,20,8,22,0.364,3,12,0.25,1,1,1.0,2,8,10,6,4.0,1,1,3,-12.0
MIL-CHA-01/31/2023,MIL,MIL vs. CHA,01/31/2023,W,12.0,34,15,35,0.429,4,15,0.267,0,0,0.0,8,13,21,8,1.0,1,3,3,7.0,CHA,CHA @ MIL,01/31/2023,L,12.0,27,11,29,0.379,3,9,0.333,2,2,1.0,4,10,14,9,2.0,0,2,1,-7.0
NYK-LAL-01/31/2023,NYK,NYK vs. LAL,01/31/2023,L,12.0,24,10,25,0.4,3,8,0.375,1,1,1.0,2,6,8,4,2.0,3,0,5,-5.0,LAL,LAL @ NYK,01/31/2023,W,12.0,29,12,18,0.667,1,5,0.2,4,6,0.667,0,12,12,7,4.0,1,0,2,5.0
DEN-NOP-01/31/2023,DEN,DEN vs. NOP,01/31/2023,W,12.0,31,11,19,0.579,5,9,0.556,4,5,0.8,2,8,10,8,5.0,0,2,1,-4.0,NOP,NOP @ DEN,01/31/2023,L,12.0,35,15,24,0.625,5,9,0.556,0,0,0.0,0,6,6,13,1.0,3,0,4,4.0
