KEY,(H)PTS,(H)FGM,(H)FGA,(H)3PM,(H)3PA,(H)FTM,(H)FTA,(H)OREB,(H)DREB,(H)REB,(H)AST,(H)TOV,(H)STL,(H)BLK,(H)PF,(H)+/-,(A)PTS,(A)FGM,(A)FGA,(A)3PM,(A)3PA,(A)FTM,(A)FTA,(A)OREB,(A)DREB,(A)REB,(A)AST,(A)TOV,(A)STL,(A)BLK,(A)PF,(A)+/-,total_score,score_diff,abs_score_diff,total_pts_q123,pace,h_fg_pct,a_fg_pct,h_3p_pct,a_3p_pct,h_ft_pct,a_ft_pct,posted_total,season,under
WAS-NYK-04/08/2022,72.0,29.0,55.0,8.0,21.0,6.0,8.0,2.0,23.0,25.0,19.0,16.0,4.0,3.0,16.0,-22.0,94.0,34.0,64.0,13.0,28.0,13.0,17.0,7.0,25.0,32.0,22.0,8.0,9.0,3.0,12.0,22.0,206.0,-22.0,22.0,166.0,119.0,0.5272727272727272,0.53125,0.38095238095238093,0.4642857142857143,0.75,0.7647058823529411,224.0,2022,1.0
UTA-PHX-04/08/2022,92.0,32.0,68.0,10.0,29.0,18.0,26.0,13.0,25.0,38.0,18.0,8.0,8.0,4.0,13.0,17.0,75.0,32.0,71.0,4.0,13.0,7.0,8.0,9.0,21.0,30.0,18.0,11.0,6.0,2.0,19.0,-17.0,216.0,17.0,17.0,167.0,139.0,0.47058823529411764,0.4507042253521127,0.3448275862068966,0.3076923076923077,0.6923076923076923,0.875,229.0,2022,1.0
MIA-ATL-04/08/2022,91.0,34.0,60.0,9.0,21.0,14.0,18.0,4.0,21.0,25.0,17.0,11.0,5.0,1.0,15.0,4.0,87.0,32.0,68.0,6.0,24.0,17.0,19.0,11.0,23.0,34.0,13.0,10.0,6.0,0.0,17.0,-4.0,222.0,4.0,4.0,178.0,128.0,0.5666666666666667,0.47058823529411764,0.42857142857142855,0.25,0.7777777777777778,0.8947368421052632,231.0,2022,1.0
LAL-OKC-04/08/2022,90.0,31.0,62.0,7.0,24.0,21.0,28.0,5.0,23.0,28.0,18.0,7.0,7.0,3.0,14.0,8.0,82.0,33.0,65.0,6.0,22.0,10.0,13.0,8.0,27.0,35.0,16.0,13.0,4.0,2.0,19.0,-8.0,221.0,8.0,8.0,172.0,127.0,0.5,0.5076923076923077,0.2916666666666667,0.2727272727272727,0.75,0.7692307692307693,225.0,2022,1.0
MIL-BOS-04/07/2022,102.0,40.0,76.0,10.0,29.0,12.0,16.0,12.0,27.0,39.0,23.0,9.0,9.0,4.0,15.0,5.0,97.0,33.0,67.0,18.0,40.0,13.0,16.0,4.0,26.0,30.0,27.0,11.0,6.0,3.0,11.0,-5.0,248.0,5.0,5.0,199.0,143.0,0.5263157894736842,0.4925373134328358,0.3448275862068966,0.45,0.75,0.8125,227.0,2022,0.0
TOR-PHI-04/07/2022,87.0,32.0,65.0,11.0,25.0,12.0,15.0,7.0,25.0,32.0,16.0,10.0,6.0,3.0,12.0,2.0,85.0,29.0,56.0,16.0,26.0,11.0,15.0,2.0,25.0,27.0,22.0,13.0,7.0,3.0,14.0,-2.0,233.0,2.0,2.0,172.0,121.0,0.49230769230769234,0.5178571428571429,0.44,0.6153846153846154,0.8,0.7333333333333333,219.5,2022,0.0
MIN-SAS-04/07/2022,97.0,34.0,77.0,15.0,39.0,14.0,18.0,11.0,28.0,39.0,21.0,8.0,8.0,2.0,19.0,15.0,82.0,30.0,67.0,7.0,21.0,15.0,20.0,7.0,27.0,34.0,24.0,12.0,4.0,3.0,15.0,-15.0,248.0,15.0,15.0,179.0,144.0,0.44155844155844154,0.44776119402985076,0.38461538461538464,0.3333333333333333,0.7777777777777778,0.75,239.0,2022,0.0
NOP-POR-04/07/2022,101.0,37.0,68.0,11.0,26.0,16.0,20.0,14.0,17.0,31.0,27.0,8.0,13.0,1.0,12.0,25.0,76.0,28.0,50.0,9.0,21.0,11.0,13.0,3.0,17.0,20.0,23.0,18.0,6.0,2.0,20.0,-25.0,221.0,25.0,25.0,177.0,118.0,0.5441176470588235,0.56,0.4230769230769231,0.42857142857142855,0.8,0.8461538461538461,223.0,2022,1.0
GSW-LAL-04/07/2022,91.0,37.0,70.0,11.0,22.0,6.0,6.0,4.0,28.0,32.0,28.0,12.0,7.0,3.0,17.0,7.0,84.0,29.0,66.0,6.0,26.0,20.0,25.0,7.0,26.0,33.0,13.0,12.0,7.0,3.0,7.0,-7.0,240.0,7.0,7.0,175.0,136.0,0.5285714285714286,0.4393939393939394,0.5,0.23076923076923078,1.0,0.8,219.0,2022,0.0
DEN-MEM-04/07/2022,105.0,37.0,59.0,11.0,21.0,20.0,23.0,5.0,26.0,31.0,25.0,13.0,5.0,2.0,16.0,27.0,78.0,30.0,65.0,9.0,21.0,9.0,13.0,6.0,13.0,19.0,21.0,10.0,5.0,2.0,19.0,-27.0,231.0,27.0,27.0,183.0,124.0,0.6271186440677966,0.46153846153846156,0.5238095238095238,0.42857142857142855,0.8695652173913043,0.6923076923076923,234.5,2022,1.0
CHA-ORL-04/07/2022,97.0,36.0,69.0,8.0,26.0,17.0,21.0,7.0,31.0,38.0,19.0,8.0,7.0,9.0,13.0,15.0,82.0,31.0,71.0,12.0,33.0,8.0,10.0,5.0,27.0,32.0,22.0,12.0,5.0,3.0,17.0,-15.0,229.0,15.0,15.0,179.0,140.0,0.5217391304347826,0.43661971830985913,0.3076923076923077,0.36363636363636365,0.8095238095238095,0.8,230.5,2022,1.0
CHI-BOS-04/06/2022,67.0,25.0,60.0,5.0,19.0,12.0,14.0,6.0,24.0,30.0,11.0,13.0,5.0,4.0,16.0,-24.0,91.0,35.0,70.0,14.0,30.0,7.0,15.0,8.0,25.0,33.0,24.0,8.0,8.0,4.0,13.0,24.0,211.0,-24.0,24.0,158.0,130.0,0.4166666666666667,0.5,0.2631578947368421,0.4666666666666667,0.8571428571428571,0.4666666666666667,225.5,2022,1.0
UTA-OKC-04/06/2022,106.0,37.0,61.0,11.0,23.0,21.0,27.0,12.0,29.0,41.0,22.0,9.0,4.0,6.0,11.0,21.0,85.0,31.0,69.0,14.0,29.0,9.0,13.0,7.0,12.0,19.0,24.0,6.0,7.0,1.0,17.0,-21.0,238.0,21.0,21.0,191.0,130.0,0.6065573770491803,0.4492753623188406,0.4782608695652174,0.4827586206896552,0.7777777777777778,0.6923076923076923,215.0,2022,0.0
ATL-WAS-04/06/2022,95.0,34.0,71.0,11.0,25.0,16.0,19.0,7.0,22.0,29.0,23.0,4.0,8.0,1.0,9.0,12.0,83.0,34.0,67.0,8.0,27.0,7.0,9.0,5.0,28.0,33.0,21.0,11.0,3.0,2.0,16.0,-12.0,221.0,12.0,12.0,178.0,138.0,0.4788732394366197,0.5074626865671642,0.44,0.2962962962962963,0.8421052631578947,0.7777777777777778,235.5,2022,1.0
NYK-BKN-04/06/2022,82.0,28.0,68.0,12.0,33.0,14.0,25.0,8.0,28.0,36.0,21.0,7.0,4.0,6.0,12.0,10.0,72.0,27.0,69.0,7.0,26.0,11.0,14.0,9.0,27.0,36.0,17.0,11.0,5.0,5.0,17.0,-10.0,208.0,10.0,10.0,154.0,137.0,0.4117647058823529,0.391304347826087,0.36363636363636365,0.2692307692307692,0.56,0.7857142857142857,229.5,2022,1.0
LAC-PHX-04/06/2022,87.0,27.0,56.0,9.0,25.0,24.0,29.0,5.0,39.0,44.0,14.0,12.0,6.0,9.0,12.0,26.0,61.0,24.0,76.0,8.0,31.0,5.0,9.0,13.0,25.0,38.0,16.0,10.0,6.0,0.0,16.0,-26.0,222.0,26.0,26.0,148.0,132.0,0.48214285714285715,0.3157894736842105,0.36,0.25806451612903225,0.8275862068965517,0.5555555555555556,223.0,2022,1.0
